"","Day","number.scan.PT","number.scan.RST","number.scan.RBM"
"1071",1071,21,21,20
"1072",1072,21,21,21
"1073",1073,21,21,21
"1074",1074,0,0,0
"1075",1075,0,0,0
"1076",1076,20,21,21
"1077",1077,21,19,21
"1078",1078,1,20,17
"1079",1079,21,18,21
"1080",1080,0,20,21
"1081",1081,0,0,0
"1082",1082,0,0,0
"1083",1083,11,19,18
"1084",1084,18,20,18
"1085",1085,21,20,14
"1086",1086,19,18,17
"1087",1087,0,0,0
"1088",1088,0,0,0
"1089",1089,0,0,0
"1090",1090,0,0,0
"1091",1091,0,0,0
"1092",1092,21,0,21
"1093",1093,16,19,0
"1094",1094,0,20,12
